MySpecies,Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Meconopsis_aculeata,Meconopsis_aculeata_Royle,Papaveraceae,Angiosperm,Dicot,Herb,NE,Perennial
Medicago_falcata,Medicago_falcata_L.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Medicago_lupulina,Medicago_lupulina_L.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Morina_coulteriana,Morina_coulteriana_Royle,Caprifoliaceae,Angiosperm,Dicot,Herb,NE,Perennial
Myosotis_asiatica,Myosotis_asiatica_(vestergr.)_Schischk._&_Serg.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Myricaria_germanica,Myricaria_bracteata_Royle_(=Myricaria_germanica_(L.)_Desv._subsp._alopecuroides_(Schrenk)_Kitam.),Tamaricaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Brachyactis_pubescens,Neobrachyactis_pubescens_(DC.)_Brouillet_(=Brachyactis_pubescens_(DC.)_Aitch._&_C.B.Clarke),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Brachyactis_roylei,Neobrachyactis_roylei_(DC.)_Brouillet_(=Brachyactis_roylei_(DC.)_Wendelbo),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Nepeta_discolor,Nepeta_discolor_Royle_ex_Benth.,Lamiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Nepeta_floccosa,Nepeta_floccosa_Benth.,Lamiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Nepeta_glutinosa,Nepeta_glutinosa_Benth.,Lamiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Nepeta_leucolaena,Nepeta_leucolaena_Benth._ex_Hook.f._(=Nepeta_royleana_R.R.Stewart.),Lamiaceae,Angiosperm,Dicot,Herb,NE,Annual
Nepeta_podostachys,Nepeta_podostachys_Benth.,Lamiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Oxytropis_glabra,Oxytropis_glabra_DC.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Oxytropis_humifusa,Oxytropis_humifusa_Kar._&_Kir._(=Oxytropis_glacialis_Benth.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Oxytropis_tatarica,Oxytropis_tatarica_Hook.f._&_Thomson_ex_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Oxytropis_hypoglottoides,Oxytropis_hypoglottoides_(Baker)_Ali_(=Astragalus_hypoglottoides_Baker),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Pedicularis_punctata,Pedicularis_punctata_Decne.,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Perennial
Pedicularis_bicornuta,Pedicularis_bicornuta_Klotzsch,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Perennial
Pedicularis_rhinanthoides,Pedicularis_rhinanthoides_Schrenk_ex_Fisch._&_C.A.Mey._subsp._labellata_(Jacquem.)_Pennell,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Perennial
Pedicularis_rhinanthoides,Pedicularis_rhinanthoides_Schrenk_ex_Fisch._&_C.A.Mey.,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Perennial
Plantago_depressa,Plantago_depressa_Willd.,Plantaginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Plantago_himalaica,Plantago_himalaica_Pilg.,Plantaginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Plantago_lanceolata,Plantago_lanceolata_L.,Plantaginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Podophyllum_hexandrum,"Podophyllum_hexandrum_Royle_(=Podophyllum_emodi_Wall_ex_Royle,_Sinopodophyllum_hexandrum_(Royle)_T.S.Ying)",Berberidaceae,Angiosperm,Dicot,Herb,NE,Perennial
Polygonum_biaristatum,Polygonum_biaristatum_Aitch._&_Hemsl.,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Polygonum_cognatum,Polygonum_cognatum_Meisn.,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Polygonum_paronychioides,Polygonum_paronychioides_C.A.Mey.,Polygonaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Polygonum_polycnemoides,Polygonum_polycnemoides_Jaub._&_Spach,Polygonaceae,Angiosperm,Dicot,Herb,NE,Annual
Polygonum_rottboellioides,Polygonum_rottboellioides_Jaub._&_Spach,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Polygonum_rottboellioides,Polygonum_rottboellioides_Jaub._&_Spach_var._tibeticum_(Hook._f.)_R.R.Stewart_ex_Qaiser_(=Polygonum_rottboellioides_Jaub._&_Spach_var._tibetica_(Hook.f.)_R.R.Stewart),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Potentilla_multifida,Potentilla_multifida_L._(=_Potentilla_plurijuga_Hand.-_Mazz.),Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Potentilla_multifida,Potentilla_multifida_L._var._angustifolia_Lehm.,Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Potentilla_multifida,Potentilla_ornithopoda_Tausch._(=Potentilla_multifida_L.var._ornithopoda_(Tausch)_Th.Wolf),Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Potentilla_pamirica,Potentilla_pamirica_Th.Wolf,Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Potentilla_desertorum,Potentilla_desertorum_Bunge,Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Prangos_pabularia,Prangos_pabularia_Lindl.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Primula_minutissima,Primula_minutissima_Jacquem._ex_Duby_(Primula_heydei_Watt),Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Primula_pamirica,Primula_pamirica_Fed.,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
