"Matthiola
chorassanica Bunge
ex Boiss.",,Matthiola_chorassanica
"Meconopsis aculeata
Royle",,Meconopsis_aculeata
Medicago falcata L.,,Medicago_falcata
"Medicago lupulina
L.",,Medicago_lupulina
"Medicago × varia
Martyn",,Medicago_varia
"Melica persica
Kunth (=Melica
jacquemontii Dcne.
Ex Jacq.)",,Melica_persica_(g)
"Morina coulteriana
Royle",,Morina_coulteriana
"Myosotis asiatica
(vestergr.) Schischk.
& Serg.",,Myosotis_asiatica
"Myricaria bracteata
Royle (=Myricaria
germanica (L.) Desv.
subsp. alopecuroides
(Schrenk) Kitam.)",,Myricaria_germanica
"Neobrachyactis
pubescens
(DC.) Brouillet
(=Brachyactis
pubescens (DC.)
Aitch. & C.B.Clarke)",,Brachyactis_pubescens
"Neobrachyactis
roylei (DC.)
Brouillet
(=Brachyactis roylei
(DC.) Wendelbo)",,Brachyactis_roylei
"Nepeta discolor
Royle ex Benth.",,Nepeta_discolor
"Nepeta floccosa
Benth.",,Nepeta_floccosa
"Nepeta glutinosa
Benth.",,Nepeta_glutinosa
"Nepeta leucolaena
Benth. ex Hook.f.
(=Nepeta royleana
R.R.Stewart.)",,Nepeta_leucolaena
"Nepeta podostachys
Benth.",,Nepeta_podostachys
"Oxytropis glabra
DC.",,Oxytropis_glabra
"Oxytropis humifusa
Kar. & Kir.
(=Oxytropis glacialis
Benth.)",,Oxytropis_humifusa
"Oxytropis tatarica
Hook.f. & Thomson
ex Bunge",,Oxytropis_tatarica
"Oxytropis
hypoglottoides
(Baker) Ali
(=Astragalus
hypoglottoides
Baker)",,Oxytropis_hypoglottoides
"Pedicularis punctata
Decne.",,Pedicularis_punctata
"Pedicularis
bicornuta Klotzsch",,Pedicularis_bicornuta
"Pedicularis
rhinanthoides
Schrenk ex Fisch.
& C.A.Mey. subsp.
labellata (Jacquem.)
Pennell",,Pedicularis_rhinanthoides
