Name of taxa,Family,Plant group,PresenceInData,"Plant
Amaranthus_hybridus L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil city,
Nubra valley,
Baroo,
Mulbekh,
Khaltsi","4504-SAZ,
39827-
KASH",,
Amaranthus powellii_S.Watson,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil city,
Suru valley,
Leh, Nubra
valley","4506-SAZ,
11981-
KASH",,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
Amaranthus_retroflexus L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil city,
Baroo, Leh
city, Nubra
valley","4505-SAZ,
12720-
KASH",,
Amaranthus viridis_L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo","4507-SAZ,
44294-
KASH",,
Ampelodesmos_mauritanicus_(Poir.) T.Durand &_Schinz (=Deyeuxia_arundinacea_P.Beauv.),Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Minimarg,
Pandrass","6062-SAZ,
23710-
KASH",,
Anaphalis contorta_(D.Don) Hook.f.,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass, Batalik,
Matayan","4580-SAZ,
26333-
KASH",,
"Anaphalis nepalensis_(Spreng.) Hand.-_Mazz. var. nepalensis_(=Anaphalis_cuneifolia Hook.f.,_Anaphalis nubigena_DC.)",Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Matayan,
Drass,
Zanaskar
valley, Penzi
La, Kargil, Leh
Batalik","4581-SAZ,
15419-
KASH",,
Anaphalis royleana_DC.,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley,
Chiktan, Penzi
La","4582-SAZ,
33061-
KASH",,
Anaphalis staintonii_Georgiadou,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley,","34048-
KASH",,
Anaphalis_triplinervis (Sims.)_C.B.Clarke,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Chiktan, Karit,
Lamsu, Penzi
La, Padum","4584-SAZ,
34824-
KASH",,
Anaphalis virgata_Thomson,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley, Suru
valley, Kargil,
Hemis Gompa","4585-SAZ,
26574-
KASH",,
Anchusa arvensis_(L.) M.Bieb._(=Lycopsis arvensis_Linn.),Boraginaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Budhkharbu,
Kargil","4722-SAZ,
15571-
KASH",,
Anchusa arvensis_(L.) M.Bieb. subsp._orientalis (L.)_Nordh.,Boraginaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Drass, Kargil",__,vI,
Androsace aizoon_Duby,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Drass,
Minimarg","6157-SAZ,
30707-
KASH",,
Androsace_baltistanica Y.J.Nasir,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass, Sapi","6158-SAZ,
23817-
KASH",,
Androsace_chamaejasme_Wulfen,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,Ladakh,"11251-
KASH",,
Androsace coronata_(Watt) Hand. -Mazz.,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Chang
La, Sapi,
Namkeela",__,,
Androsace duthieana_R.Knuth,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,Nubra valley,__,,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
"Androsace_jacquemontii_Duby var. robusta_(R.Knuth) Govaerts_(=Androsace robusta_(R.Knuth) Hand.-_Mazz., Androsace_villosa Jacq. var._robusta R.Knuth)",Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Chang La,
Nubra valley,","10413-
KASH",,
Androsace_mucronifolia Watt,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Gumri","6160-SAZ,
26758-
KASH",,
