"Androsace
sempervivoides Jacq.
ex Duby",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kanji, Khaltsi,
Kargil","6162-SAZ.
19199-
KASH",,,
"Androsace
septentrionalis L.",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Matayan,
Mahi Leh,
Chumathang","6772-SAZ,
29735-
KASH",,,
Androsace villosa L.,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Sapi La, Chang
La, Fatu La",6163-SAZ,,,
"Anemonastrum
polyanthes (D.Don)
Holub (=Anemone
polyanthes D.Don)",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Shang, Trachit,
Meroo","11091-
KASH",,,
"Anemonastrum
tetrasepalum (Royle)
Holub (=Anemone
tetrasepala Royle)",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass, Sapi La,
Rangdum","6179-SAZ,
34219-
KASH",,,
"Anethum graveolens
L.",Apiaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil,
Panikhar,
Sangrah","4553-SAZ,
11728-
KASH",,,
"Angelica
archangelica L.",Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass,
Matayan,
Pandrass","4555-SAZ,
10317-
KASH",,,
"Angelica glauca
Edgew.",Apiaceae,Angiosperm,Dicot,Herb,EN,Perennial,"Minimarg,
Drass, Nyoma","4554-SAZ,
34154-
KASH",,,
Anthemis cotula L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual,Kargil,"4586-SAZ,
28972-
KASH",,,
"Anthoxanthum
odoratum L.",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Kargil, Khaltsi","6046-SAZ,
18960-
KASH",,,
"Anthriscus sylvestris
(L.) Hoffm. subsp.
sylvestris (L.)
Hoffm. (=Anthriscus
nemorosa (M.Bieb.)
Spreng.)",Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial,Ladakh,__,,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Antirrhinum majus
L.",Plantaginaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil, Leh","6028-SAZ,
32198-
KASH",,,
"Aphragmus
ladakianus Al-
Shehbaz",Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial,Leh,"4748-
KASH",,,
"Aphragmus obscurus
(Dunn) O.E.Schulz",Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual,Matayan,"4749-SAZ,
32415-
KASH",,,
"Aphragmus
oxycarpus (Hook.
f. & Thomson) Jafri
(=Braya oxycarpa
Hook.f.& Thomson)",Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Marpu La,
Khardong
La, Zanaskar
valley, Nyoma","4750-SAZ,
14878-
KASH",,,
"Apocynum venetum
L. (=Trachomitum
venetum (L.)
Woodson)",Apocynaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley","6647-SAZ,
34210-
KASH",,,
"Aquilegia fragrans
Benth.",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley,
Panikhar,
Matayan,
Nubra valley,
Sankoo,
Batalik,
Alchi, Hemis,
Parkachik,
Nyoma, Leh","4727-SAZ,
37043-
KASH",,,
"Aquilegia
moorcroftiana Wall.
Ex Royle",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil, Nubra
valley, Drass,
Zanaskar
valley, Saru
valley, Sankoo,
Rangdum","6180-SAZ,
26194-
KASH",,,
"Aquilegia nivalis
(Baker) Bruehl",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil,
Panikhar,
Batalik","11747-
KASH,
35217-
KASH",,,
"Arabidopsis thaliana
(L.) Heynh.",Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual,"Zanaskar
valley, Kargil,
Padum, Leh,
Nubra valley,
Drass, Turtuk","4751-SAZ,
26667-
KASH",,,
Arabis alpina L.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Sapi La,
Chang La,
Budhkharbu","6773-SAZ,
20614-
KASH",,,
"Arabis paniculata
Franch.",Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual,"Nubra valley,
Zanaskar
valley","6774-SAZ,
25410-
KASH",,,
Arctium lappa L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil,
Leh, Drass,
Zanaskar
valley","4587-SAZ,
28764-
KASH",,,
"Arctopoa tibetica
(Munro ex Stapf)
Prob. (=Poa tibetica
Munro ex Stapf)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,Drass,"33298-
KASH",,,
"Arenaria
neelgherrensis Wight
& Arn.",Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual,"Minimarg,
Diskit","4826-SAZ,
37995-
KASH",,,
"Arenaria
polytrichoides
Edgew.",Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Chang La,
Rumtse, Miru",4827-SAZ,,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Arenaria
serpyllifolia L.",Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual,"Khardong La,
Changthang,
Phang, Meroo","4829-SAZ,
38024-
KSH",,,
